,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
71,8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield,1 - 1,D,18.986083174942667,60.35439459469212,20.659522230365216
72,8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves,0 - 1,D,21.56474133946679,59.743911570268004,18.691347090265214
73,8,06/10/2018 15:00,King Power Stadium,Leicester,Everton,1 - 2,H,7.839803940359297e-05,0.13735457723980474,99.8625670247208
74,8,06/10/2018 15:00,Wembley Stadium,Spurs,Cardiff,1 - 0,D,22.15689683699224,56.13857513958869,21.704528023419073
75,8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth,0 - 4,D,14.854787522431915,65.01730259391783,20.127909883650254
76,8,06/10/2018 17:30,Old Trafford,Man Utd,Newcastle,3 - 2,D,9.258498630441,60.728515858466395,30.012985511092616
77,8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal,1 - 5,D,16.127822985809246,59.51762529912621,24.354551715064545
78,8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea,0 - 3,D,15.376252508681471,67.75293296709508,16.870814524223444
79,8,07/10/2018 16:30,Anfield,Liverpool,Man City,0 - 0,D,23.30210546042746,55.28806572721944,21.40982881235311
80,9,20/10/2018 12:30,Stamford Bridge,Chelsea,Man Utd,2 - 2,D,26.38674840092382,58.88553838020252,14.727713218873658
81,9,20/10/2018 15:00,Vitality Stadium,Bournemouth,Southampton,0 - 0,D,20.662766286376755,58.99208367553814,20.34515003808511
82,9,20/10/2018 15:00,Cardiff City Stadium,Cardiff,Fulham,4 - 2,D,20.7066967545671,59.083391558026776,20.20991168740612
83,9,20/10/2018 15:00,Etihad Stadium,Man City,Burnley,5 - 0,D,23.479259312990518,50.72305004236362,25.797690644645876
84,9,20/10/2018 15:00,St. James' Park,Newcastle,Brighton,0 - 1,D,19.10016887088916,59.421682093268004,21.47814903584284
85,9,20/10/2018 15:00,London Stadium,West Ham,Spurs,0 - 1,D,13.702538078993474,64.79091128106928,21.506550639937227
86,9,20/10/2018 15:00,Molineux Stadium,Wolves,Watford,0 - 2,D,21.35527125751604,62.943788205353925,15.700940537130034
87,9,20/10/2018 17:30,John Smith's Stadium,Huddersfield,Liverpool,0 - 1,D,17.81984287298944,61.76758131389857,20.412575813111985
88,9,21/10/2018 16:00,Goodison Park,Everton,Crystal Palace,2 - 0,A,99.7145032287111,0.28540035015547977,9.642113343251911e-05
89,9,22/10/2018 20:00,Emirates Stadium,Arsenal,Leicester,3 - 1,D,25.129929506460908,57.18061889930084,17.68945159423825
90,10,27/10/2018 15:00,Amex Stadium,Brighton,Wolves,1 - 0,D,16.119868030811332,55.056194160241,28.823937808947658
91,10,27/10/2018 15:00,Craven Cottage,Fulham,Bournemouth,0 - 3,D,14.554681752011325,64.47020599887195,20.975112249116734
92,10,27/10/2018 15:00,Anfield,Liverpool,Cardiff,4 - 1,D,26.28216956756633,54.9944203113403,18.723410121093362
93,10,27/10/2018 15:00,St. Mary's Stadium,Southampton,Newcastle,0 - 0,D,10.619075344663235,61.89163350274841,27.489291152588365
94,10,27/10/2018 15:00,Vicarage Road,Watford,Huddersfield,3 - 0,D,17.92840733272514,61.32734727297289,20.74424539430196
95,10,27/10/2018 17:30,King Power Stadium,Leicester,West Ham,1 - 1,D,18.18273723360844,60.35432254008667,21.462940226304898
96,10,28/10/2018 13:30,Turf Moor,Burnley,Chelsea,0 - 4,D,17.26999247794018,65.90155006001262,16.82845746204718
97,10,28/10/2018 13:30,Selhurst Park,Crystal Palace,Arsenal,2 - 2,D,15.627150306209437,65.56638455121802,18.80646514257254
98,10,28/10/2018 16:00,Old Trafford,Man Utd,Everton,2 - 1,H,5.58176357786517e-05,0.16422505697737164,99.83571912538686
99,10,29/10/2018 20:00,Wembley Stadium,Spurs,Man City,0 - 1,D,19.469054996335707,55.934033611063306,24.59691139260098
